Token	TotalCount	NumLangs	Languages
 	3084256902	29	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
ˈ	1669847814	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi
a	1024359154	29	bg,cs,da,de,el,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
t	872312394	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
n	823245562	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
i	780527858	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
e	741885861	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
s	666997723	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
ː	629704421	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi
o	607203417	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
k	501412869	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
ˌ	487386498	28	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
m	446574090	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
r	418809319	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
l	418162929	29	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
d	402303481	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
p	338520864	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
u	336236703	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
ɛ	326547366	28	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi
ə	284790944	23	bg,da,de,el,en,es,et,fr,hr,id,it,ko,lt,lv,mt,nl,pt,ro,ru,sk,sl,sv,vi
ʲ	284148938	23	bg,cs,da,de,el,en,es,fi,fr,hr,hu,it,ko,lt,mt,nl,pl,pt,ro,ru,sk,sv,vi
j	243100899	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
v	241353401	26	bg,cs,da,de,el,en,et,fi,fr,hr,hu,id,it,ja,ko,lt,mt,nl,pl,pt,ro,ru,sk,sv,vi,zh
ɪ	230415527	25	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sv,vi
,	181661318	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ɔ	181356490	25	bg,cs,da,de,el,en,et,fr,hr,hu,id,it,ko,lt,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi
4	180704374	2	vi,zh
.	178997910	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ɑ	172610926	19	bg,da,de,el,en,et,fr,hr,hu,it,ko,lt,lv,mt,nl,pt,ru,sv,vi
b	167627907	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
z	167496615	29	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ɾ	161577167	18	cs,da,de,el,en,es,hr,hu,it,ko,mt,nl,pl,pt,ro,ru,sk,sl
f	130741449	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
ɡ	122097600	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi
ʌ	109540790	15	bg,cs,da,de,el,en,fr,it,ko,lv,nl,pt,ru,sv,vi
2	108372364	2	vi,zh
ŋ	104434866	28	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi
h	100943044	30	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
1	92073247	16	bg,cs,da,de,el,en,es,lt,lv,mt,pl,ro,sk,sv,vi,zh
ʃ	88785203	26	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi
y	86284548	18	da,de,et,fi,fr,hr,hu,it,ja,lv,mt,nl,pt,ru,sl,sv,vi,zh
3	85525213	1	zh
w	85352649	25	bg,da,de,el,en,es,et,fr,id,it,ja,ko,lt,mt,nl,pl,pt,ro,ru,sk,sl,sv,th,vi,zh
ɐ	81596988	14	bg,da,de,el,en,fr,ko,lv,mt,pt,ro,ru,sv,vi
æ	81517764	8	en,et,fi,hr,lv,pt,sk,vi
̃	75731363	10	da,de,el,en,fr,nl,pl,pt,ru,vi
ʊ	72782806	17	bg,da,de,el,en,et,fr,hr,it,ko,lt,mt,pt,ro,ru,sv,vi
tʃ	71275271	26	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,id,it,ko,lt,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi
ð	66715155	12	bg,da,de,el,en,es,fr,mt,nl,ru,sv,vi
ts	65998107	16	bg,cs,de,el,es,hr,hu,it,ja,lt,pl,pt,ro,ru,sk,sl
ʁ	60236769	6	da,el,en,fr,it,nl
ɲ	51238491	19	bg,cs,da,de,el,es,et,fr,hr,hu,id,it,lv,nl,pl,pt,sk,sl,vi
x	49241069	24	bg,cs,da,de,el,en,es,fr,hr,id,it,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ʒ	44907517	24	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,vi
aɪ	38448875	19	bg,da,de,el,en,es,fr,hr,id,it,ko,mt,nl,pt,ro,ru,sk,sv,vi
ɹ	37848291	26	bg,cs,da,de,el,en,es,et,fi,fr,hr,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi
-	36544127	8	da,en,fr,it,ko,lv,vi,zh
ɭ	34124023	3	it,lt,ru
ɨ	33740072	3	de,pl,ro
ʋ	33701787	4	da,lv,nl,sl
eɪ	29282579	18	bg,cs,da,de,el,en,es,et,fr,it,ko,mt,nl,pt,ro,ru,sv,vi
ʰ	28551851	1	th
θ	24113840	12	bg,da,de,el,en,es,fr,it,ko,pt,ru,vi
de	22575940	1	zh
ɕ	22056527	6	de,lt,pl,ru,sv,th
ɣ	21600834	14	bg,cs,da,de,el,es,hr,it,nl,pl,ru,sk,sl,vi
dʒ	21538455	25	bg,cs,da,de,el,en,es,fr,hr,hu,id,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi
shi	21529294	1	zh
ɜ	21269471	14	bg,da,de,el,en,fr,hr,it,ko,nl,pt,ru,sv,vi
ø	21100533	11	da,de,et,fi,fr,hr,hu,it,nl,ro,sv
ç	20855755	11	bg,de,el,en,hr,hu,id,mt,pl,ro,ru
ɯ	19569237	3	en,ko,th
aʊ	19309366	19	bg,cs,da,de,el,en,es,fr,hr,id,it,ko,lt,mt,pt,ro,ru,sv,vi
c	16843429	13	cs,de,el,hu,it,lv,mt,pl,pt,ro,ru,vi,zh
yi	15998656	4	et,fi,mt,zh
ʔʌ	15795806	1	da
?	15768016	27	bg,cs,da,de,el,en,es,et,fi,fr,hr,hu,it,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,vi,zh
ʔe	15174554	1	da
oʊ	15055068	5	cs,en,hr,ro,sk
̯	14621405	2	da,th
tɕ	13594405	7	de,en,hr,ko,lt,pl,sl
ʔ	13322647	12	bg,da,de,el,en,id,lt,lv,mt,ru,sk,th
β	13272838	2	da,es
ie	12867608	4	fi,lt,lv,mt
ai	12514912	5	fi,lt,lv,mt,zh
sh	12141237	1	ja
ε	11676538	1	da
6	11630146	2	vi,zh
dʑ	11374546	10	bg,cs,de,en,hr,ko,lt,pl,sk,sl
ɚ	10729148	1	en
͡	10659181	2	lv,th
ɟ	10248557	6	cs,da,es,hu,lv,vi
g	10186896	2	ja,zh
uo	10076420	3	fi,lt,lv
œ	10022009	5	da,de,fr,hr,sv
ɵ	9957566	4	et,nl,ru,sv
zhe	9784395	1	zh
ʔi	9768273	1	da
ɫ	9239564	4	bg,en,es,ko
ʂ	9152923	5	bg,el,lt,pl,sv
ʎ	8950248	12	bg,cs,el,es,et,hr,hu,it,lv,pt,sk,sl
̪	8591521	2	it,vi
ɛɪ	8458787	4	de,it,nl,pt
ge	8150388	1	zh
le	7239358	1	zh
̩	7107406	10	cs,da,de,en,fr,hr,lt,lv,sk,vi
bu	7015914	1	zh
you	6951571	1	zh
